datetime,Salmo_Salar_Downstream,P65days_count,FH1,FH2,FH3,FH4,FH5,FH6,FH7,FH8,FH9,FH10,FH11,FH12,FH13,FH14,FH15,FH16,FH17,FH18,FH19,FH20,FH21,FH22,FH23,FH24,FH25,FH26,FH27,FH28,FH29,FH30,FH31,FH32,FH33,FH34
11/2/2020,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2020,8,8,1,0.991935484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/4/2020,6,6,1,1,0.975806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/5/2020,0,0,1,0.991935484,0.967741935,0.951612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/2020,2,2,1,0.983870968,0.975806452,0.943548387,0.915322581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2020,0,0,0.995967742,0.983870968,0.955645161,0.963709677,0.899193548,0.879032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/8/2020,5,5,1,0.983870968,0.959677419,0.947580645,0.911290323,0.862903226,0.826612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/9/2020,0,0,0.995967742,0.97983871,0.939516129,0.915322581,0.907258065,0.903225806,0.810483871,0.77016129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/10/2020,1,1,1,0.983870968,0.959677419,0.911290323,0.907258065,0.883064516,0.866935484,0.810483871,0.717741935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/11/2020,10,10,0.995967742,0.975806452,0.963709677,0.923387097,0.883064516,0.879032258,0.838709677,0.826612903,0.778225806,0.693548387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/2020,74,74,0.991935484,0.967741935,0.935483871,0.923387097,0.903225806,0.826612903,0.846774194,0.806451613,0.762096774,0.725806452,0.673387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2020,6,6,0.995967742,0.971774194,0.927419355,0.891129032,0.875,0.862903226,0.802419355,0.798387097,0.745967742,0.786290323,0.701612903,0.653225806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2020,3,3,0.987903226,0.935483871,0.891129032,0.850806452,0.842741935,0.810483871,0.806451613,0.741935484,0.77016129,0.717741935,0.709677419,0.673387097,0.588709677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2020,3,3,1,0.947580645,0.899193548,0.818548387,0.802419355,0.778225806,0.741935484,0.774193548,0.713709677,0.733870968,0.685483871,0.677419355,0.633064516,0.548387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/16/2020,4,4,0.987903226,0.955645161,0.858870968,0.822580645,0.721774194,0.762096774,0.754032258,0.689516129,0.75,0.709677419,0.677419355,0.657258065,0.629032258,0.576612903,0.52016129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
